獎號,獎號,獎號,獎號,獎號,獎號,特別,期數
6,9,12,13,33,39,21,1
16,21,27,30,31,47,35,2
2,4,25,26,34,43,41,3
18,19,28,29,30,34,12,4
14,15,20,29,32,39,43,5
13,28,29,32,33,34,43,6
2,6,13,34,40,44,14,7
22,29,34,36,44,46,37,8
4,6,11,22,42,48,23,9
17,22,26,29,37,43,31,10
14,17,20,25,43,48,15,11
1,2,26,31,39,40,38,12
7,13,18,19,25,37,14,13
4,21,25,32,37,43,2,14
3,6,17,23,28,32,45,15
8,12,23,24,45,46,36,16
1,11,17,25,41,45,32,17
12,15,22,23,41,48,17,18
8,12,17,18,19,34,37,19
8,14,21,22,30,31,48,20
1,2,7,26,38,43,4,21
6,16,20,25,33,46,12,22
2,12,14,30,41,46,29,23
11,17,21,36,43,49,5,24
11,13,15,21,35,38,37,25
3,7,42,45,46,49,8,26
16,24,25,26,39,44,30,27
5,14,26,38,41,43,4,28
24,25,26,30,36,48,45,29
13,14,20,30,37,45,1,30
13,17,19,26,39,45,11,31
3,11,19,20,22,28,13,32
22,25,29,31,34,46,49,33
1,10,13,33,34,46,7,34
3,9,13,28,40,48,39,35
6,27,40,44,45,47,11,36
3,4,10,23,25,26,33,37
4,10,11,14,32,36,9,38
2,4,18,20,32,49,30,39
6,28,30,34,43,46,9,40
1,16,17,30,36,49,44,41
6,22,27,34,42,44,36,42
1,17,30,31,32,45,33,43
1,4,31,32,34,35,33,44
6,15,25,37,41,49,3,45
2,10,16,22,30,33,41,46
5,12,41,43,45,46,33,47
5,11,30,34,44,48,40,48
6,9,11,17,22,36,44,49
11,17,29,36,44,49,33,50
12,17,19,22,27,42,48,51
6,10,11,16,29,44,37,52
7,19,27,31,42,46,39,53
4,5,7,13,24,30,49,54
3,4,8,25,36,42,32,55
2,5,32,38,42,49,44,56
2,3,7,26,30,49,6,57
11,15,24,27,37,46,1,58
1,15,28,38,41,42,24,59
20,31,33,40,42,46,30,60
3,11,19,21,40,42,14,61
13,14,21,24,27,30,20,62
5,17,19,26,28,43,25,63
11,16,27,33,34,40,7,64
5,6,11,16,19,42,10,65
10,22,31,32,41,48,24,66
13,29,31,38,45,46,43,67
14,31,34,37,42,48,29,68
4,22,28,29,44,47,32,69
9,16,18,32,41,47,46,70
12,25,26,31,36,42,29,71
7,13,14,20,21,49,34,72
8,10,11,21,23,44,42,73
7,19,26,37,38,46,29,74
5,6,8,9,10,43,13,75
1,15,16,33,35,48,10,76
26,27,40,41,42,43,28,77
7,13,15,20,22,47,19,78
12,15,21,23,25,35,24,79
3,6,19,22,31,32,5,80
1,7,10,32,42,45,26,81
4,23,36,39,45,47,25,82
10,21,23,25,38,42,33,83
3,10,20,21,24,48,26,84
6,13,30,34,38,44,48,85
10,12,13,24,31,40,47,86
1,10,25,28,38,49,23,87
23,26,31,33,36,38,21,88
12,24,25,27,34,36,39,89
